uid,input_tokens,output_tokens,latency_seconds
5,467.0,227.0,3.295790910720825
6,530.0,247.0,3.8539257049560547
7,508.0,238.0,3.8475677967071533
9,478.0,255.0,3.3584814071655273
10,424.0,254.0,4.286148548126221
14,578.0,240.0,3.2339367866516113
16,536.0,218.0,2.6319663524627686
17,468.0,224.0,3.526120901107788
18,464.0,210.0,3.4608399868011475
20,548.0,233.0,3.178614854812622
24,500.0,243.0,3.6484014987945557
25,478.0,251.0,3.6537046432495117
28,504.0,242.0,3.4242875576019287
30,449.0,228.0,2.807447671890259
32,469.0,250.0,4.3820295333862305
33,503.0,202.0,3.0791802406311035
34,513.0,224.0,2.9642560482025146
36,497.0,243.0,3.5742008686065674
38,499.0,218.0,3.9712984561920166
39,515.0,207.0,3.032022714614868
41,452.0,230.0,3.433295249938965
42,461.0,201.0,3.0426738262176514
43,507.0,258.0,3.6599981784820557
44,465.0,242.0,3.038973808288574
45,546.0,245.0,3.047192096710205
46,494.0,210.0,3.0631942749023438
52,466.0,203.0,3.422131299972534
53,461.0,236.0,3.529041051864624
54,491.0,211.0,3.7361907958984375
57,535.0,221.0,3.6423041820526123
60,486.0,249.0,4.246281862258911
61,471.0,215.0,2.6801936626434326
62,491.0,269.0,4.115722417831421
63,519.0,239.0,2.9968008995056152
64,530.0,256.0,3.1743228435516357
65,503.0,270.0,3.4609639644622803
68,478.0,222.0,3.0495920181274414
69,500.0,209.0,2.8198206424713135
71,490.0,201.0,2.5192368030548096
74,516.0,251.0,3.2909278869628906
75,473.0,200.0,2.678982734680176
79,516.0,210.0,2.878446340560913
81,516.0,241.0,3.5524044036865234
82,565.0,213.0,3.072920560836792
83,580.0,203.0,2.6466774940490723
85,480.0,249.0,3.090721368789673
87,453.0,213.0,3.36885404586792
88,478.0,213.0,3.3547017574310303
89,484.0,239.0,3.4425177574157715
90,479.0,196.0,2.739112138748169
92,520.0,261.0,3.5738494396209717
93,477.0,219.0,2.7949557304382324
94,514.0,204.0,2.7938718795776367
95,489.0,224.0,3.5165305137634277
96,484.0,255.0,3.1321675777435303
97,481.0,257.0,3.2918050289154053
100,529.0,228.0,3.295106887817383
102,532.0,204.0,2.6391875743865967
103,459.0,228.0,3.2770802974700928
106,465.0,221.0,3.926309823989868
107,508.0,208.0,2.754270076751709
111,562.0,239.0,3.613961696624756
112,481.0,223.0,2.736222982406616
113,561.0,190.0,2.763392210006714
116,485.0,246.0,3.128406524658203
120,540.0,212.0,3.3229103088378906
121,513.0,223.0,3.5922458171844482
122,448.0,221.0,3.0817112922668457
123,491.0,216.0,3.8885371685028076
125,520.0,209.0,3.057678461074829
126,522.0,222.0,3.2313148975372314
127,480.0,290.0,3.6530325412750244
130,486.0,216.0,3.0097036361694336
135,501.0,226.0,3.0783255100250244
136,495.0,204.0,2.6752285957336426
137,566.0,220.0,2.767362356185913
138,498.0,259.0,3.5556256771087646
139,519.0,215.0,3.629868507385254
141,522.0,238.0,3.1225411891937256
143,530.0,235.0,3.275580406188965
144,458.0,217.0,2.8842058181762695
145,496.0,268.0,3.318537950515747
146,474.0,190.0,2.6564133167266846
148,478.0,234.0,3.3119490146636963
149,459.0,227.0,3.348500967025757
150,489.0,226.0,3.19938588142395
151,473.0,210.0,2.5850491523742676
153,460.0,241.0,2.9220962524414062
154,509.0,223.0,2.6468517780303955
155,503.0,231.0,3.456111192703247
156,487.0,244.0,3.305877685546875
159,479.0,213.0,2.6655025482177734
161,489.0,212.0,3.232581615447998
163,481.0,218.0,2.7124080657958984
167,499.0,189.0,3.229513168334961
169,481.0,214.0,3.3458750247955322
170,489.0,223.0,2.924269676208496
172,478.0,224.0,3.2043259143829346
173,533.0,224.0,3.0458478927612305
174,465.0,205.0,3.299959421157837
175,495.0,243.0,4.087387800216675
177,515.0,247.0,2.8419129848480225
178,548.0,233.0,3.690483570098877
179,445.0,245.0,3.820408344268799
181,472.0,240.0,3.1142778396606445
182,460.0,213.0,3.2215354442596436
183,556.0,223.0,2.9238035678863525
190,437.0,238.0,3.7073960304260254
191,478.0,210.0,3.075949192047119
192,482.0,254.0,3.4527974128723145
193,485.0,229.0,3.1537623405456543
198,533.0,218.0,3.202925682067871
199,476.0,225.0,3.531517505645752
200,434.0,224.0,3.5949747562408447
203,474.0,234.0,3.2734737396240234
204,526.0,203.0,3.0720791816711426
205,549.0,224.0,3.267832040786743
207,471.0,206.0,3.633164167404175
209,520.0,234.0,3.5260703563690186
215,467.0,220.0,3.048285722732544
216,501.0,225.0,2.735562801361084
217,464.0,238.0,3.2363204956054688
219,568.0,234.0,3.167907476425171
220,551.0,206.0,3.0038037300109863
221,530.0,216.0,2.9242987632751465
223,473.0,195.0,2.6642582416534424
224,475.0,230.0,3.4119231700897217
227,467.0,246.0,3.3010594844818115
228,540.0,228.0,3.616943836212158
229,499.0,187.0,2.55285382270813
230,521.0,225.0,2.841702699661255
237,462.0,205.0,2.53476881980896
238,488.0,212.0,2.751811981201172
239,457.0,238.0,3.1941065788269043
244,494.0,240.0,3.058903694152832
246,448.0,219.0,3.1194915771484375
248,480.0,198.0,3.026242971420288
249,475.0,228.0,3.5326926708221436
250,511.0,199.0,2.8938143253326416
251,514.0,210.0,3.0823097229003906
252,462.0,196.0,2.8439037799835205
255,515.0,229.0,3.036118745803833
256,495.0,187.0,2.5116465091705322
257,542.0,211.0,2.7882800102233887
259,522.0,247.0,3.2347168922424316
261,578.0,260.0,3.6027655601501465
263,491.0,212.0,2.626328229904175
265,502.0,256.0,3.358076810836792
266,506.0,254.0,4.342862844467163
271,497.0,274.0,3.695634126663208
273,541.0,249.0,4.063431978225708
274,491.0,247.0,3.232722282409668
276,547.0,216.0,2.690399169921875
277,511.0,235.0,3.4963810443878174
278,520.0,216.0,2.7936460971832275
279,491.0,257.0,3.3538267612457275
280,485.0,234.0,3.077855110168457
282,545.0,255.0,3.398895502090454
283,499.0,231.0,4.048342227935791
288,529.0,262.0,3.123502016067505
289,514.0,217.0,2.8862228393554688
290,460.0,212.0,3.46523118019104
293,494.0,215.0,2.8659603595733643
296,454.0,227.0,3.2328085899353027
298,477.0,232.0,3.7134311199188232
299,535.0,207.0,3.3250110149383545
302,446.0,210.0,2.720456838607788
305,461.0,225.0,2.7855982780456543
306,481.0,214.0,3.3662586212158203
307,495.0,244.0,3.062497138977051
308,502.0,219.0,3.2491326332092285
312,498.0,222.0,2.9932761192321777
313,503.0,214.0,2.56943416595459
314,525.0,202.0,2.423588514328003
317,469.0,228.0,2.990241289138794
318,481.0,216.0,3.023179054260254
319,493.0,207.0,2.759857654571533
321,471.0,223.0,3.031595230102539
322,530.0,237.0,3.3405730724334717
327,530.0,194.0,2.374966859817505
331,502.0,245.0,3.2970714569091797
333,514.0,211.0,2.6739466190338135
337,483.0,206.0,2.77494215965271
339,474.0,252.0,3.6358752250671387
340,463.0,217.0,3.6515419483184814
